gtf_name	database	mean_gene_length	variance_gene_length	mean_exon_count	variance_exon_count	mean_protein_length	variance_protein_length
acanthaster_planci_gca001949145v1	metazoa	17865.21831199563	530983489.7955409	9.619197864207267	103.93434986624789	615.4292822037497	401576.21552356856
acromyrmex_echinatior_gca000204515v1rs	metazoa	16432.543631339693	1664410629.4912992	6.6928424993314914	31.406804711418825	559.8404492379	325506.9137461344
acropora_millepora_gca013753865v1	metazoa	8667.9044664189	159485228.3204234	6.547849747809928	83.64403519706846	524.7715357048049	304342.4784477626
actinia_equina_gca011057435	metazoa	5256.857250739443	81658147.78807619	5.785928551949823	59.61381163987095	417.13932999097983	201672.11786385984
actinia_tenebrosa_gca009602425v1	metazoa	8211.565015015016	83501241.29738952	8.013963963963963	88.959162323142	549.1337337337337	345971.91454344377
acyrthosiphon_pisum_gca005508785v2rs	metazoa	12700.318364345909	1054350801.7490344	6.161303093716419	41.49411558691859	455.9602398054409	215402.27652989724
adelges_cooleyi_gca023614345v1rs	metazoa	11634.679551490117	559070116.7281424	7.501180289170847	51.25687798711718	497.5763499557392	288741.118699948
adineta_vaga	metazoa	1564.645172413793	2621961.739670197	5.131541582150102	27.66364333637106	383.85	137833.12472362522
aedes_aegypti_lvpagwg	metazoa	46602.3355754858	11596994696.001331	4.243851066721022	12.149338759362523	541.6144856638131	284159.90477622184
aedes_albopictus_gca035046485v1rs	metazoa	36983.18811202507	10408817091.249537	3.575940070505288	10.31847509918456	624.7053956130043	314627.0002627138
aethina_tumida_gca024364675v1rs	metazoa	11645.231665524332	1038631915.5149484	5.77412230599345	27.001374467599128	530.789734216739	362946.423949442
agrilus_planipennis_gca000699045v2	metazoa	15451.681026101263	1634627330.219041	5.754393837409319	28.74356240553869	518.1178670256526	312858.3005416281
amblyteles_armatorius_gca933228735v1	metazoa	9288.372264206497	350007143.8373578	6.59230542742173	25.6510047846005	570.1567376582589	300697.37835590495
amphibalanus_amphitrite_gca019059575v1	metazoa	17613.83211545488	651891226.4831587	6.6746437705516986	53.51484171057631	574.4920350748995	310306.6243839251
amphimedon_queenslandica_gca000090795v2rs	metazoa	3500.7590403165964	17748762.04280624	7.591986148899332	61.30902848303759	472.2186989859016	211561.52775956187
amyelois_transitella_gca001186105v1rs	metazoa	14551.812018489984	694848117.745987	7.117453424849419	55.95993770445665	524.0199607788205	306444.1593689976
anastrepha_ludens_gca028408465v1rs	metazoa	20377.352941176472	1723259040.3797777	4.489853283970931	16.232910406995384	571.7358425887837	399817.4493796019
anastrepha_obliqua_gca027943255v1rs	metazoa	20019.39280986553	1612311998.083984	4.585870549710862	16.871126989094297	572.5387723820804	363059.5104984092
ancistrocerus_nigricornis_gca916049575v1	metazoa	7502.803868510724	290764327.18283755	6.31799959911806	22.40493006635245	502.1454199238324	220443.78851314928
anneissia_japonica_gca011630105v1	metazoa	13717.465234300891	274449689.9373674	7.7979984822614306	80.27181499482765	525.2333048757351	323339.0947860037
anopheles_albimanus	metazoa	4633.339683061006	61897894.15057737	4.283274488874292	12.784915668696312	575.800065686838	384696.9085367012
anopheles_albimanus_gca000349125v2vb	metazoa	5212.100943549699	108734397.259882	4.240605173255246	12.336475221468396	572.5231820400195	375318.6441790546
anopheles_albimanus_gca013758885v1rs	metazoa	10454.869693039343	563926994.2570587	4.479377431906615	14.442436139528688	623.0492001729356	412774.4355763665
anopheles_arabiensis	metazoa	6908.370582473061	209526973.1693652	4.060658578856152	11.187201947552436	546.7163740486776	335381.5810423451
anopheles_atroparvus_gca914969975	metazoa	10702.921570182394	584650911.3493086	3.977398889770024	10.251769266681295	539.3469468675654	348747.81371301884
anopheles_christyi	metazoa	2693.4673473142016	7123746.4688076805	3.8820824135393672	8.656869621392465	549.7821927888153	301303.9604666106
anopheles_coluzzii_gca004136515v2vb	metazoa	6779.668964436785	249068237.22656044	4.244869183769388	11.745439790954713	570.7425975246749	345758.6248472751
anopheles_coluzzii_gca943734685v1rs	metazoa	13712.800853256058	1122833359.7249484	4.2964662319890525	13.50258532181487	618.0102229735169	402668.359016397
anopheles_culicifacies	metazoa	3362.3684357152806	12800923.800026122	3.797743418303385	7.38389962295417	493.9433765148349	244702.94441492693
anopheles_darlingi	metazoa	4052.790071996968	47836010.42414018	4.558829101932551	12.838509438910457	576.8154604016673	317159.4336823177
anopheles_darlingi_gca943734745v1rs	metazoa	11238.558723935128	847265701.0841103	4.5264658706113	13.750613994869305	626.3148280163964	402932.0196696032
anopheles_dirus	metazoa	4345.154363974002	56551826.1498912	4.127824203033117	11.109714030533876	546.1908851748684	329631.6177424958
anopheles_epiroticus	metazoa	3549.577032452325	20914159.16002117	4.152392104382737	10.720396619474249	566.11918701907	332699.46492333733
